,ARID,ORID,PHASE,STA,ATIME,TIMEDEF,LAT,LON,DEPTH,OTIME
274,59098044,6329540,P,RPZ,2010135,d,-5.7859153,146.43659,102.09391,2010135
275,59101226,6329540,P,BVAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
276,59101423,6329540,P,KURK,2010135,d,-5.7859153,146.43659,102.09391,2010135
277,59096508,6329666,P,GEYT,2010135,d,29.852755,50.607486,0.0,2010135
278,59096544,6329666,P,TORD,2010135,d,29.852755,50.607486,0.0,2010135
279,59096564,6329666,P,ZALV,2010135,d,29.852755,50.607486,0.0,2010135
280,59096579,6329666,P,AKASG,2010135,d,29.852755,50.607486,0.0,2010135
281,59096582,6329666,P,NOA,2010135,d,29.852755,50.607486,0.0,2010135
282,59096688,6329666,P,YKA,2010135,d,29.852755,50.607486,0.0,2010135
283,59096699,6329666,P,DBIC,2010135,d,29.852755,50.607486,0.0,2010135
284,59097097,6329666,P,BVAR,2010135,d,29.852755,50.607486,0.0,2010135
285,59098365,6329666,P,AKTO,2010135,d,29.852755,50.607486,0.0,2010135
286,59098369,6329666,P,IDI,2010135,d,29.852755,50.607486,0.0,2010135
287,59098375,6329666,P,MLR,2010135,d,29.852755,50.607486,0.0,2010135
288,59098404,6329666,P,SEY,2010135,d,29.852755,50.607486,0.0,2010135
289,59098549,6329666,P,KURK,2010135,d,29.852755,50.607486,0.0,2010135
290,59096516,6329094,P,LPAZ,2010135,d,-33.488045,-71.744331,33.369736,2010135
291,59096569,6329162,Pg,MJAR,2010135,d,34.590482,139.32379,0.0,2010135
292,59096761,6329162,P,WRA,2010135,d,34.590482,139.32379,0.0,2010135
293,59097478,6329511,P,LPAZ,2010135,d,-36.572535,-73.835553,0.0,2010135
294,59097482,6329511,Pn,PLCA,2010135,d,-36.572535,-73.835553,0.0,2010135
295,59097571,6329511,P,TORD,2010135,d,-36.572535,-73.835553,0.0,2010135
296,59099414,6329511,Pn,CFAA,2010135,d,-36.572535,-73.835553,0.0,2010135
297,59099436,6329511,P,SIV,2010135,d,-36.572535,-73.835553,0.0,2010135
298,59097547,6329571,P,ZALV,2010135,d,38.796509,70.799974,0.0,2010135
299,59097823,6329812,P,ASAR,2010135,d,-32.759974,-178.33561,0.0,2010135
300,59097826,6329812,tx,ASAR,2010135,n,-32.92599,-178.34719,0.0,2010135
301,59097834,6329812,P,STKA,2010135,d,-32.759974,-178.33561,0.0,2010135
302,59097853,6329812,P,VNDA,2010135,d,-32.759974,-178.33561,0.0,2010135
303,59098054,6329812,P,WRA,2010135,d,-32.759974,-178.33561,0.0,2010135
304,59098056,6329812,tx,WRA,2010135,n,-32.92599,-178.34719,0.0,2010135
305,59098094,6329812,P,NVAR,2010135,d,-32.759974,-178.33561,0.0,2010135
306,59098114,6329812,P,USRK,2010135,d,-32.759974,-178.33561,0.0,2010135
307,59098184,6329812,P,PETK,2010135,d,-32.759974,-178.33561,0.0,2010135
308,59099778,6329812,P,CTA,2010135,d,-32.759974,-178.33561,0.0,2010135
309,59099799,6329812,P,QSPA,2010135,d,-32.759974,-178.33561,0.0,2010135
310,59100340,6329812,P,JNU,2010135,d,-32.759974,-178.33561,0.0,2010135
311,59098066,6329827,P,ARCES,2010135,d,3.7190925,128.04432,99.516687,2010135
312,59098072,6329827,P,CMAR,2010135,d,3.7190925,128.04432,99.516687,2010135
