ORID,LAT,LON,DEPTH,ORIGIN,EVID,MB,MS,ML,ARID,PHASE,DELTA,STA,TIME,IPHASE,AZIMUTH,DELTIM,DELAZ,JDATE,STA_LAT,STA_LON,STATYPE,ONDATE,OFFDATE,TIMEDEF,ATIME,OTIME
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088099,P,41.716303,ZALV,2010-05-15 09:28:22.750000128,P,66.665959,0.98181798,27.664903,2010135,53.94805,84.81878,ar,2006286.0,2286324.0,d,1273915702.75,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088108,P,22.983999,USRK,2010-05-15 09:25:39.824999936,P,67.380135,0.54398375,40.185078,2010135,44.1998,131.9888,ar,2008287.0,2286324.0,d,1273915539.824999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088114,P,60.307018,CMAR,2010-05-15 09:30:45.000000000,P,19.720919,0.65431631,6.3198646,2010135,18.4576,98.94315,ar,1986198.0,2286324.0,d,1273915845.0,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088115,P,54.483066,PDAR,2010-05-15 09:30:04.100000000,P,357.13759,0.8237789,17.784852,2010135,42.76738,-109.5579,ar,1995196.0,2286324.0,d,1273915804.1,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088120,Pn,4.9113771,PETK,2010-05-15 09:21:51.324999936,Pn,61.7612,0.12,8.0622192,2010135,53.10822,157.69885,ar,2006291.0,2286324.0,d,1273915311.324999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088125,P,25.098451,ILAR,2010-05-15 09:26:00.049999872,P,262.76781,0.12679012,3.0656266,2010135,64.77145,-146.88645,ar,1977091.0,2286324.0,d,1273915560.049999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088129,P,39.307632,YKA,2010-05-15 09:28:04.844999936,P,301.65604,0.12,0.77630398,2010135,62.4931,-114.6062,ar,1989025.0,2014013.0,d,1273915684.844999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088144,P,59.907278,NOA,2010-05-15 09:30:41.200000000,P,18.354465,0.32872048,1.4673978,2010135,61.0397,11.2148,ar,1995302.0,2286324.0,d,1273915841.2,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088166,P,71.134763,GERES,2010-05-15 09:31:54.750000128,P,34.99202,0.6293067,21.225922,2010135,48.84511,13.70156,ar,2002157.0,2286324.0,d,1273915914.75,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088173,P,74.211899,BRTR,2010-05-15 09:32:12.650000128,P,46.949509,0.41031094,49.616594,2010135,39.72525,33.63895,ar,2002017.0,2286324.0,d,1273915932.65,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088187,P,65.910592,GEYT,2010-05-15 09:31:22.600000000,N,352.87498,0.90895854,46.461334,2010135,37.92955,58.11706,ar,2010038.0,2286324.0,d,1273915882.6,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088197,P,82.765945,ESDC,2010-05-15 09:32:59.100000000,P,6.4094933,0.84359417,19.935472,2010135,39.6744,-3.963,ar,2002052.0,2286324.0,d,1273915979.1,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088229,P,67.922315,TXAR,2010-05-15 09:31:34.249999872,P,326.97613,0.61386455,11.048807,2010135,29.33426,-103.66768,ar,1995088.0,2286324.0,d,1273915894.249999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088255,P,84.057054,ASAR,2010-05-15 09:33:06.049999872,P,15.310507,0.4765185,3.047084,2010135,-23.66513,133.90526,ar,2005165.0,2286324.0,d,1273915986.049999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088301,P,65.707109,AKASG,2010-05-15 09:31:18.900000000,P,28.299709,0.68306075,5.3350203,2010135,50.7012,29.2242,ar,2002067.0,2286324.0,d,1273915878.9,1273915234.28894
